English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
ewe,ooi,aue,,ålam,ær,,awiz
ey,ooibos,au,ö,ø,ey,,awjō
iland,eiland,eiland,öland,øland,eyland,,awjōlandą
,,,,,afi,,awô
,,,,,,𐌰𐍅𐍉,awǭ
,oorn,ernte,and,,önn,𐌰𐍃𐌰𐌽𐍃,azaniz
,arent,ernte,and,,,,azanōdaz
earn,,ernten,,,anna,,azanōną
,adel,adel,,,aðal,,aþalą
elgar,,adelger,,,aðalgeir,,aþalagaizaz
,,adolf,,,,𐌰𐌸𐌰𐌻𐌰𐍅𐌿𐌻𐍆𐍃,aþalawulfaz
,,,,,aðall,,aþalaz
,,,,,,𐌰𐌸𐌽𐌰𐌼,aþna-
athel,edel,edel,,,eðli,,aþulijaz
atheling,edeling,,ädling,,öðlingur,,aþulingaz
babble,babbelen,pappeln,babbla,bable,babla,,babalōną
bad,,,,,,,bad-
bed,bed,bett,bädd,,beður,𐌱𐌰𐌳𐌹,badją
beadhook,,,böd,,böð,𐌱𐌰𐌳𐌿𐍃,badwō
beam,boom,baum,,,baðmur,𐌱𐌰𐌲𐌼𐍃,bagmaz
both,beide,beide,både,både,báðir,𐌱𐌰𐌹,bai
,beiden,,bedas,,beiða,𐌱𐌰𐌹𐌳𐌾𐌰𐌽,baidijaną
bone,been,bein,ben,ben,bein,,bainą
bain,,,bena,ben,beinn,,bainaz
boat,boot,,,,beit,,baitaz
bait,beten,,,bede,beita,,baitijaną
,beitel,,,,,,baitilaz
bait,,beiße,bet,bed,beita,,baitō
,,,,,beitur,𐌱𐌰𐌹𐍄𐍂𐍃,baitraz
back,,bache,bak,bag,bak,,baką
backboard,bakboord,backboord,babord,bagbord,bakborði,,bakaburdaz
bake,bakken,backen,baka,bage,baka,,bakaną
baker,bakker,bäcker,bagare,bager,bakari,,bakārijaz
beck,beek,bach,bäck,bæk,bekkur,,bakiz
,bakken,backen,,,baka,,bakkōną
,,,bälga,bælle,belgja,,balgijaną
belly,balg,balg,bälg,bælg,belgur,𐌱𐌰𐌻𐌲𐍃,balgiz
balk,balk,balken,bjälke,bjælke,bjálki,,balkô
bale,baal,ball,boll,bold,böllur,,balluz
baldric,,balz,bälte,bælte,belti,,baltijaz
bale,,,,,böl,,balwą
baleful,baldadig,,,,bölvís,𐌱𐌰𐌻𐌿𐍃,balwaz
,,,,,bölva,,balwōną
baldwin,boudewijn,balduin,baldvin,baldvin,baldvin,,balþawiniz
bold,boud,bald,båld,,ballur,𐌱𐌰𐌻𐌸𐍃,balþaz
,,,,,,𐌱𐌰𐌻𐌸𐌴𐌹,balþį̄
bield,,,,,bella,𐌱𐌰𐌻𐌸𐌾𐌰𐌽,balþijaną
band,,,,,,𐌱𐌰𐌽𐌳𐌹,bandī
bend,,,bända,bænde,benda,,bandijaną
band,bende,,,,,,bandiz
,,,,,benda,𐌱𐌰𐌽𐌳𐍅𐌾𐌰𐌽,bandwijaną
,bengel,bengel,,,,,bangilaz
bang,bonken,banken,banka,banke,banga,,bangōną
,,,,,ben,𐌱𐌰𐌽𐌾𐌰,banjō
,,,,,benja,,banjōną
bank,bank,bank,bänk,bænk,bekkur,,bankiz
bank,,,backe,bakke,bakki,,bankô
ban,bannen,bannen,banna,bande,banna,,bannaną
bane,,,bane,bane,bani,,banô
,baan,bahn,,,,,banō
bane,,,,,bana,,banōną
boosy,,banse,bås,bås,bás,,bansaz
,,,,,bæsa,,bansijaną
,,banse,,,,𐌱𐌰𐌽𐍃𐍄𐍃,banstiz
barley,,,barr,,barr,𐌱𐌰𐍂𐌹𐌶,baraz
beard,baard,bart,bard,,barð,,bardaz
,baars,barte,,,barða,,bardǭ
,,,,,barða,,bardō
,,,,,bergja,,bargijaną
barrel,,,,,berill,,barilaz
berry,,beren,bärja,bærje,berja,,barjaną
bark,bark,bark,bark,bark,börkur,,barkuz
barm,berm,berme,barm,barm,barmur,𐌱𐌰𐍂𐌼𐍃,barmaz
barn,,,barn,barn,barn,𐌱𐌰𐍂𐌽,barną
bairnless,,,barnlös,,barnlaus,,barnalausaz
bairnish,,,,,bernskur,𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐍃,barniskaz
berling,,,bärling,,berlingur,,barō
barse,baars,barsch,,,,,barsaz
barrow,barg,barg,,,,,barugaz
,,,,,bör,,barwaz
barrow,berrie,bere,,,börur,,barwijǭ
,bes,,,,,,basją
bast,bast,bast,bast,bast,,,bastaz
,baas,baas,,,,,baswô
,,base,,,,,baswǭ
batell,baten,,,,,,batāną
,betuwe,passau,,,,,batawjō
best,best,beste,bäst,bedst,bestur,𐌱𐌰𐍄𐌹𐍃𐍄𐍃,batistaz
bet,bet,bass,,,betur,,batiz
better,beter,besser,bättre,bedre,betri,𐌱𐌰𐍄𐌹𐌶𐌰,batizô
better,beteren,bessern,bättra,bedre,betra,,batizōną
batten,,,,,batna,,batnaną
batful,baat,,,,bati,,batô
badge,beugel,baug,,,baugur,,baugaz
bay,,beugen,böja,bøje,beygja,,baugijaną
buoy,boei,,,bavn,bákn,,baukną
beckon,,,,,bákna,,bauknōną
bean,boon,bohne,böna,bønne,baun,,baunō
boast,boos,posse,,,,,bausuz
button,boten,amboss,,,bauta,𐌱𐌰𐌿𐍄𐌰𐌽,bautaną
,,bossen,,,beyta,,bautijaną
button,,bosse,,,,,bautô
barren,baar,bar,bar,bar,ber,,bazaz
berry,bère,beere,bär,bær,ber,,bazją
bare,baren,offenbaren,,,opinbera,,bazōną
bath,bad,bad,bad,bad,bað,,baþą
beath,betten,,,,,,baþjaną
bathe,baden,baden,bada,bade,baða,,baþōną
,baaien,bähen,,,,,bēaną
beaver,bever,biber,bjur,byr,bjór,,bebruz
